e	E键开头的符号	每种符号按读音编码或按键盘上的对称位置排布。	
ea	数学分数		
eae	三分之几		
eaeq			⅓
eaew			⅔
eaf			∕️
eai	八分之几		
eaie			⅜
eaiq			⅛
eait			⅝
eaiu			⅞
eap	十分之几		
eapq			⅒	⅟
ear	四分之几		
eare			¾
earq			¼
eat	五分之几		
eate			⅗
eatq			⅕
eatr			⅘
eatw			⅖
eaw	二分之几		
eawq			½
eay	六分之几		
eayq			⅙
eayt			⅚
eb	制表	键盘上有规律地排列，双击最后一码换成双线样式	┃	━
ebb	单双线交叉角落		
ebbc			╧	╨
ebbd			╪	╫
ebbe			╤	╥
ebbf			╡	╢
ebbr			╮	╕	╖
ebbs			╞	╟
ebbv			╯	╛	╜
ebbw			╭	╓	╒	╓
ebbx			╰	╘	╙
ebc			┻	╳
ebcc			╩
ebch			╳
ebd			╋
ebdd			╬
ebe			┳
ebee			╦
ebf			┫
ebff			╣
ebg	竖线制表符		┃
ebga			╎
ebgd			┆
ebgf			┇
ebgg			║
ebgh			┊
ebgj			┋
ebgs			╏
ebh			━
ebhh			═
ebi	三倍长横线	键盘上统一的位置。	
ebia			┅┅┅
ebib			▁▁▁
ebic			﹎﹎﹎
ebid			┈┈┈
ebie			﹊﹊﹊
ebif			───
ebig			▬▬▬
ebih			┉┉┉
ebij			------
ebik			╌╌╌
ebil			╍╍╍
ebin			﹏﹏﹏
ebiq			ˉˉˉ
ebir			￣￣￣
ebis			┄┄┄
ebit			▔▔▔
ebiu			﹌﹌﹌
ebiv			＿＿＿
ebiw			﹉﹉﹉
ebix			﹍﹍﹍
ebiy			﹋﹋﹋
ebiz			______
ebj			━━
ebjj			══
ebk			━━━
ebkk			═══
ebl	双线5个栅栏 		━╋━╋━╋━╋━╋━
ebll			═╬═╬═╬═╬═╬═
ebo	四部长横线	键盘上统一的位置。	
eboa			┅┅┅┅
ebob			▁▁▁▁
eboc			﹎﹎﹎﹎
ebod			┈┈┈┈
eboe			﹊﹊﹊﹊
ebof			────
ebog			▬▬▬▬
eboh			┉┉┉┉
eboj			--------
ebok			╌╌╌╌
ebol			╍╍╍╍
ebon			﹏﹏﹏﹏
eboq			ˉˉˉˉ
ebor			￣￣￣￣
ebos			┄┄┄┄
ebot			▔▔▔▔
ebou			﹌﹌﹌﹌
ebov			＿＿＿＿
ebow			﹉﹉﹉﹉
ebox			﹍﹍﹍﹍
eboy			﹋﹋﹋﹋
eboz			________
ebp	五倍长横线	键盘上统一的位置。	
ebpa			┅┅┅┅┅
ebpb			▁▁▁▁▁
ebpc			﹎﹎﹎﹎﹎
ebpd			┈┈┈┈┈
ebpe			﹊﹊﹊﹊﹊
ebpf			─────
ebpg			▬▬▬▬▬
ebph			┉┉┉┉┉
ebpj			----------
ebpk			╌╌╌╌╌
ebpl			╍╍╍╍╍
ebpn			﹏﹏﹏﹏﹏
ebpq			ˉˉˉˉˉ
ebpr			￣￣￣￣￣
ebps			┄┄┄┄┄
ebpt			▔▔▔▔▔
ebpu			﹌﹌﹌﹌﹌
ebpv			＿＿＿＿＿
ebpw			﹉﹉﹉﹉﹉
ebpx			﹍﹍﹍﹍﹍
ebpy			﹋﹋﹋﹋﹋
ebpz			__________
ebr			┓
ebrr			╗
ebs			┣
ebss			╠
ebu	两倍长横线	键盘上统一的位置。	
ebua			┅┅
ebub			▁▁
ebuc			﹎﹎
ebud			┈┈
ebue			﹊﹊
ebuf			──
ebug			▬▬
ebuh			┉┉
ebuj			----
ebuk			╌╌
ebul			╍╍
ebun			﹏﹏
ebuq			ˉˉ
ebur			￣￣
ebus			┄┄
ebut			▔▔
ebuu			﹌﹌
ebuv			＿＿
ebuw			﹉﹉
ebux			﹍﹍
ebuy			﹋﹋
ebuz			____
ebv			┛
ebvv			╝
ebw			┏
ebww			╔
ebx			┗	╳
ebxh			╳
ebxx			╚
eby	横线	键盘上统一的位置。	
ebya			┅
ebyb			▁
ebyc			﹎
ebyd			┈
ebye			﹊
ebyf			─
ebyg			▬
ebyh			┉
ebyj			--
ebyk			╌
ebyl			╍
ebyn			﹏
ebyq			ˉ
ebyr			￣
ebys			┄
ebyt			▔
ebyu			﹌
ebyv			＿
ebyw			﹉
ebyx			﹍
ebyy			﹋
ebyz			__
ec	食物		🍜##面条	🎂	🍚##米饭
ecb			
ecbb			🍭##棒棒糖	🍧##刨冰
ecbd			🍱##便当	🍮##布丁
ecbg			🍪##饼干	🍘##饼干
ecbj			🍶##酒
ecbl			🍍##菠萝
ecbm			🍿##爆米花	🌽##玉米	🥙##大饼
ecbq			🍦##冰淇淋	🍨##三球
ecbu			🍦##冰淇淋	🍨##三球
ecc			🍡##串串	☕##咖啡	🍵##咖啡
ecci			🍊##柚子
eccj			🍽️##餐具
