以	a1olj1oljj4yljj4
以后	a2ylhq1
以前	a3ylqm1ylum1
碍	aa1aar1aarg1oarg1
鹌	aa2aaw1aawd1oawd4
皑皑白雪	aabx1
鹌鹑蛋	aacd1
鹌鹑	aach1
暗暗吃惊	aacj1
嗷嗷待哺	aadb1
暗暗点头	aadt1
砹	aae1aaem1oaem1
安安分分	aaff1
暗暗高兴	aagx1
安安静静	aajj1
碍脚	aajv1
碍口	aaki1
暗暗佩服	aapf1
矮矮胖胖	aapp1
暗暗祈祷	aaqd1aaud1
哀哀切切	aaqq1aauu1
暗暗庆幸	aaqx1aaux1
暗暗思忖	aasc1
碍事	aasf1
碍手	aask1
矮矮实实	aass1
凹凹凸凸	aatt1
安安稳稳	aaww1
安安心心	aaxx1
碍于	aayg1
哀哀欲绝	aayj1
碍眼	aayo1
按兵不动	abbd1
哀兵必胜	abbs1
安步当车	abdc1
安邦定国	abdg1
阿卜杜拉	abdl1
按百分率	abfl1
阿巴嘎旗	abgq1
阿布扎比	abib1abzb1
安邦治国	abig1abzg1
阿坝藏族羌族自治州	abii1abiz1abzi1abzz1
按部就班	abjb1
埃博拉病毒	abld1
爱别离苦	ablk1
阿巴拉契亚山脉	ablm1
阿巴拉契亚山	abls1
阿巴拉契亚	ably1
爱不释手	abss1
安不忘危	abww1
安步以当车	abyc1
桉	ac1acn1acns1ocns1
爱出风头	acft1
爱厂如家	acrj1
爱才若渴	acrk1
爱财如命	acrm1
桉树	acsc1
暗藏杀机	acsj1
暗潮涌动	acyd1
澳	ad1adr1adra1odra4
爱答不理	adbl1
暗渡陈仓	adcc1
暗度陈仓	adcc2
阿迪达斯	adds1
阿多尔诺	aden1
爱达荷州	adhi1adhz1
安定和谐	adhx1
澳洲	adid1adzd1
案牍之劳	adil1adzl1
澳抗	adkk1
澳柯玛	adkm1
案牍劳形	adlx1
澳大利亚	adly1
澳门	admj1
澳门元	admy1
安东尼奥	adna1
ADP	adp1
安定人心	adrx1
挨冻受饿	adse1
安第斯山脉	adsm1
安第斯山	adss1
安定团结	adtj1
暗淡无光	adwg1
黯淡无光	adwg2
安度晚年	adwn1
澳网	adwo1
澳元	adyg1
艾	ae1aem1aemm1oem1oemm11yemm1
菴	ae2aea1aeao1oeao1
阿尔卑斯山脉	aebm1
阿尔卑斯	aebs1
阿尔卑斯山	aebs2
阿尔伯特	aebt1
阿尔巴尼亚	aeby1
艾草	aece1
阿尔都塞	aeds1
阿尔弗雷德	aefd1
艾蒿	aehe1
阿恩海姆	aehm1
艾滋病	aeib1aezb1
艾滋	aeid1aezd1
艾炷灸	aeij1aezj1
艾炷	aeim1aezm1
阿尔及尔	aeje1
艾卷	aejm1
艾灸	aejw1
阿尔及利亚	aejy1
蔼	ael1aelr1oelr1
爱尔兰岛	aeld1
艾伦	aelj1
艾略特	aelt1
艾玛	aemg1
艾美奖	aemj1
艾青	aeqg1aeug1
蔼然	aerv1aerw1
艾绒	aerx1
挨饿受冻	aesd1
